gene_name,log2_mod_coefs,log_fdr_adj_p
Gak,-2.0780958189758354,1.191211791306699
Ppp2r5a,2.0758184528125265,1.0450100452419864
Gpr89b,-1.8252286202036452,1.1050025491016562
Cplx2,-1.170622432634115,2.9894489611817225
Dnajb5,-1.142254962545858,3.2312893562956444
Ep300,-2.0770447310800657,1.0439257499462316
Mettl23,1.4212255132986014,1.3553669909221118
Phyhipl,1.3954349990899129,1.4720232638764081
Fam13c,1.269013406023069,1.6595321638914093
Nid2,1.5000949251846327,1.6424399713605855
Ccar1,1.32049591469865,2.0036691397188435
Dcbld1,-2.952409226769927,1.142101098526077
Nus1,-1.967808273298001,1.0840111072723655
Zbtb12,1.4405594335090255,1.3046483322340063
Cyp21a1,-1.6721474245405048,2.0598360701998413
Prrt1,-1.2461381352940917,2.50831917789903
Ager,1.2860705291133634,1.8906706692241169
Slc39a7,1.0996542732110295,1.5547141872737467
Ring1,1.650364760678533,1.0326913927329013
Vps52,1.658558353519983,1.4865012369664792
Def6,-1.9862152488045242,1.000684662850049
Tead3,-2.3093050048245587,1.6224186520668635
Ppil1,1.8093826038087217,2.0261541180633498
Fgd2,3.2744976288861154,1.073748683111697
AC096404.1,1.2705773074123827,2.9880705803138126
Amd1,-1.2799483103155231,1.098734230932267
Pcdh15,2.0351460910532166,1.4386803758823747
Arid5b,1.8571994116218566,1.0075849690175984
Sgsm1,1.7259365378922842,1.025198603541161
AC112568.1,1.5950743488542227,1.1831651681996618
Gabbr1,-1.5963273350852316,2.4151566732828336
Znrd1,1.1879992876470706,1.780755077717203
Gcc2,-1.5378234395097554,1.2996991823001227
Ddx39b,2.3349413567346096,1.1727145678413045
Ubl3,-1.077957650995442,1.7509969667821033
Sfswap,1.5529855863015243,1.1142745490095007
Piwil1,2.0952610748848186,1.0885226334434368
Scarb1,1.4961111439770969,1.0022639228393742
Ptcd1,2.29457915365529,1.246714580143865
Trappc5,-1.2690819773956428,1.3649708003622782
Evi5l,-1.7645290033612544,1.2398847738901155
Gpalpp1,-1.2651051454046705,1.910710842802424
Eif2ak1,1.0568622417005027,3.4212541659399003
Snapc2,1.5017707196816577,1.0257899058792543
Elavl1,-1.6012976582989034,1.4929860092632812
Foxk1,1.4907391761697444,1.6152846559257954
Nos1,1.4875085673927284,1.3136836147336193
Suds3,-1.4098486554851168,1.3813360047371455
Prkab1,1.1756162483558024,2.4536670738857924
Rplp0,-1.2824192316729712,1.7406909780799347
Cox6a1,-1.1914845135726682,1.3842972932429571
Pde9a,1.768196247107867,2.3692231713399265
Acads,-2.571536069081978,1.115674410726817
RGD1311899,-1.5045145460814056,1.2636619607113622
Oasl,2.094311879461569,1.0254799315597423
Tchp,1.05310322304671,1.4581898803009898
Agpat3,-1.4811951313894678,1.8868029379707192
Pwp2,1.7333427023100874,1.4539135268462078
Ddt,-1.6495999166685529,1.3946000829962404
Pcbp3,1.440198691589386,1.595037559948577
Atp2a2,-1.7452622974589325,1.2962892030372866
Rph3a,-1.4631010358196577,1.2588093959665525
Cyp3a62,1.376145833331119,1.0925829716630793
Irs3,2.4075748606596195,1.0292898099919303
Mospd3,-1.9394728926035316,1.2518510257026965
Gigyf1,1.5500208537445326,1.1628399637148632
Rasa4,3.08050800224743,1.5596202580222618
Por,-1.696721769459137,1.0323860040001496
Eif4h,-1.699918329239659,3.0722750677687785
Pdcd2,1.1249590169832717,3.634260553668807
Usp25,-1.8500626241852856,1.506730351809208
Tfg,-1.8501784740633753,1.181861458918004
Erg,3.4496933066217594,1.24807366603521
Kcnj6,-1.2541900944405444,2.306134942261629
Runx1,2.5479608043816286,1.2721180809079904
Alg3,-1.913947003875046,1.5548936797021187
Tmem44,-1.6667708497767573,1.1889614598909617
Bdh1,-1.9505953067106212,1.0066655838654042
Eif4g1,-1.7836394177674617,1.8915224341663501
Heg1,-1.680064907008651,1.6723968498124615
Itgb5,1.7911177356062935,1.3028681010487237
St6gal1,-1.241566798795452,1.1777135821380627
Ube2l3,-2.1617684228427505,1.1728606507520696
Trmt2a,1.563901954488403,1.2901438906749638
Arvcf,1.0304480869257437,2.4386410409765484
Epha5,-1.575064120544306,1.127816949328497
Hunk,-1.7465126338332737,1.024587022326499
Sod1,-1.9532186818797757,1.2439300614524518
Lrrc8d,1.5457884833475382,1.4366384262748932
Phldb2,-1.7699422125439142,1.747272826110524
Clock,1.4400610559531215,1.8853162076806909
Coq2,2.69323454005803,1.2313512298669578
Tmem165,1.1912617809509949,2.3191101629807633
Mylk,1.3862058017638725,1.129641168795742
Fip1l1,-1.8804098111362346,1.0547863254853542
Hnrnpd,-1.2006557325419127,1.4588284753722505
Aldh3a2,-1.9756484301908623,1.4845332817417571
Rab3gap2,1.5675324561411232,1.0138613617147583
Bmp3,2.2049572910171875,1.0715857469446715
Eprs,-1.2220348703664237,1.6798486210898484
Hlf,1.8802207709305352,1.2238309292984482
Nid1,-1.69465335560824,1.207332291755439
Gnl3l,-1.3847407143220607,1.4512823471784888
Ptgs2,-1.6662743305557324,1.4518534013413866
Pds5a,1.2686877669531322,2.1395602255829127
RGD1309748,1.6847386729214509,1.4775224572614618
Htr5b,-1.52640078996606,1.024434182299493
Magee1,-1.3291319303678175,1.0096293258311904
Hgd,-2.0196012810942503,1.375777557927858
Mettl22,-2.600702450983644,1.1097524565141168
Dlg3,-1.1573687961249277,5.345157164821318
Npl,2.1775416709200677,1.3384864100675822
Phlpp1,-1.2738152967507477,1.6863797969551868
Rbfox1,-1.792941355082763,1.0389827040519029
Nacc1,-1.4582468470534757,1.8434314564700356
Rassf6,2.1629101311660794,1.1751104714503267
Atp1b1,-1.5685601520057828,1.0488132648225548
C1ql1,-1.8103805620613818,2.138828496862191
Bmp15,3.864899928368575,1.3789068406210305
Srr,-2.332145719968949,1.7505754677890752
Tmem39a,1.7510341006310322,1.335436451134659
Ribc1,-1.7024826855944775,3.4438582989008704
Ubqln2,-1.7663973901305157,1.6703589368262572
Kif19,-1.0175152558739557,1.4869510265852364
B4galt4,-2.0599858037781402,1.3790281940027636
Prelp,1.4528520858270986,1.7064091053154875
Zfp496,-1.4251292333778889,1.3384214319320376
Fcrlb,-3.2093768840564376,1.4745797099192974
Bfar,-1.4566335364291796,1.0854401733487313
Acbd3,-1.4254296618939704,1.1437950108888555
Ercc6l,1.3923100756181557,2.1520894305673335
Zfp286a,2.826825047064071,1.542604878587959
Tspan7,-1.236797420840136,1.3420875899574751
B3galt2,1.3299468030699426,1.2441963166918335
Cacng4,-1.4310624087688422,1.3433667923432873
Epn3,1.3336817259972007,4.704135643102635
Mybph,-1.540363192469462,2.4973470262973874
Canx,-1.3202324386345543,1.9126527677432128
Ogt,-1.4585393700070257,2.1336448733609648
Cenpf,-3.5131120908742726,2.619892511103553
Stx6,-2.1949049025425276,1.1827723083898949
Klf1,1.5591602332143941,1.4798319082623332
Bicdl2,-1.914883791687779,1.5747536185320645
Fundc1,2.3727160725532266,3.579434738761244
Slc6a4,1.8654920597446685,1.138582322712562
Rnaseh2a,1.849726051625781,1.9313995167013647
Pou2f1,1.2157082722991748,1.7042981818848586
Vegfd,1.4225722552679825,1.7127062248974165
Tmem183a,-1.210939153437998,1.7126446934941
Tuba4a,-1.4819214332007533,1.4067326317753515
Pkmyt1,-2.303184174307258,1.0409118731485454
Jpt1,-2.232075061033616,1.0053118472706652
Ppp4r3b,1.2272697236412424,1.909574991977586
Clgn,1.317344362797562,1.6493700624569367
Tmem163,1.391024989409952,1.6023585846135673
Rptor,1.4668752797326579,2.037015111039925
Slu7,-1.7792255812970834,1.1304643174429914
Tdp1,2.2713263289130943,1.4088579616093804
Slc43a2,1.5734391153445562,1.375542203092474
Med12,1.383251425977624,1.4685168512802853
Ccnjl,-2.8831282204635715,1.0692562241090433
Rps6kb1,1.174034446998177,1.408549794105363
Arsg,-1.8000414438083159,2.8512288896793017
Asnsd1,-1.2904987427765868,1.0259122526348974
Rab3gap1,1.2010972491631715,2.311127259753259
Amelx,1.150169449899616,1.8223665165418548
Pik3r6,2.7240205589940563,1.1295043236314335
Pld5,-2.091723990519337,1.0885751993123371
Atp2b1,-1.2579968159090087,1.8543027755863932
Baiap2,-1.0894603221285446,1.4966144872907097
Nrcam,-1.7257960765096974,1.1340803976759062
Zc3h14,1.0382720319778478,1.6770340396570087
R3hdm1,1.8963490560615446,1.1661139632226745
Rpl23,-1.763901312183145,1.5950215566516863
Zfpm2,-1.1813196219976525,1.8792311974364435
Slc9a7,-1.6145964667792772,1.8658857361649355
Flii,1.7371894582089522,1.3800039713794228
Mtif2,1.399201229699801,1.1645561068394747
Nts,-2.2120151312253,1.1896223260360625
LOC298795,1.4033824741482723,2.5055375169340626
LOC100362999,-3.572417682154705,1.4504284371273246
LOC108348062,1.6779566065020297,1.9789408904624552
Ints7,1.5121861918253046,1.0441966250863153
Itga3,2.2983383281048946,1.0949354225083958
Tcn2,-1.621885451317821,1.0132149706108637
Btg1,-2.1349421062760827,1.2194181660871803
Syap1,-2.1481392369582917,1.0074900445272705
Tor3a,1.131505524235419,1.209913124810903
Daam1,-1.1075757911397022,3.189025453019741
Clhc1,4.228232176409645,1.1227230353850937
Cacnb1,-1.2279167545368948,1.3324903658477543
Wdr60,1.4026201580970366,2.7139071904209007
