gene_name,log2_mod_coefs,log_fdr_adj_p
Idua,-1.1808355372572192,1.3485180067451257
Cd82,2.238484871076693,1.1332361959488255
Fcrl6,-2.785137739412993,1.1812293572012562
Mtf2,-2.162484325177558,1.022254533017705
Hltf,-1.0130198713342622,1.598276171568293
Gpr89b,-1.627356961970082,2.400677605787549
Rnf19b,1.1140068841274418,1.6970727702532107
Abhd5,-2.3334864013890457,1.6052616039903933
Kctd17,1.549133902951821,1.2378981634757882
Grm6,-1.9374222682469935,1.0170566247744846
Slc16a6,1.9175412104071432,1.6102689669773482
Def8,-1.592801245241104,1.768103600063282
Fam13c,1.5308908448841758,1.1839865810477377
Prdm1,-3.0010463375215,1.4357746378650624
Rtraf,-2.694287695804048,1.5910271616012837
Ccar1,1.37389518519942,1.4241582190555153
Dcbld1,-3.0193344694616666,1.142101098526077
Nelfe,-1.3153302612173612,1.8002510283722775
Dxo,3.407356424230618,1.4252956891234931
Cuta,1.5200011810242222,1.267581571563351
Def6,-2.0794039485904334,1.000684662850049
Fance,1.6702186170279554,1.1129634084763171
Tspyl1,1.6663164037601832,1.0691715726037643
Ube2d1,1.148426232971782,2.008473542352629
Tfam,-2.554055035492902,1.5735076109018695
Ado,-1.4305541332188614,1.3471995085155213
Ung,-3.683952029012213,2.2224744141524546
Ssh1,-1.27673782311093,1.8261261349263205
Rpp21,2.130307444027646,1.4586561311341237
Ranbp2,-1.3650983965237267,1.3400835288616255
Gnl1,1.215042149837916,2.336118737711889
Flot1,1.3319310268547078,1.1241745987864777
Ddx39b,-1.4168383737547334,1.324288144022183
Csnk2b,1.0768676798162289,1.4214817516655434
Sbds,1.6100467107728693,1.259668409493365
Tmem248,1.5979094785941927,1.9777893035816825
Gusb,-2.2640910651802204,1.757970845987796
Psph,-1.875044939719115,1.7546896019967577
Rpl21,-2.3194139863320036,1.0519332656879774
Ptcd1,1.6963148389822735,1.246714580143865
Aimp2,1.0019185266729875,2.493336664915056
Rilpl1,-1.8036322330670425,1.1316049020107242
Kmt5a,-1.703819578248438,1.1990836041175694
Sbno1,-1.2203444896380924,1.4249609372960539
