gene_name,log2_mod_coefs,log_fdr_adj_p
Steap1,2.1872743196600104,2.1562701912893174
RGD1304622,1.0740718809537972,2.3928704352360213
Pcgf3,-1.753985629859166,1.0795284830067036
Hltf,1.5034612893302643,2.0694423811005365
Champ1,1.3581289635111369,1.240544381963703
Dnajb5,-1.5608099106648932,2.5059538279662883
Atg12,1.9586810584469574,1.2826472281439103
Apex2,2.9805333612975797,1.6076320547940381
Rtraf,2.4066869343116335,2.4264178273442014
Nelfe,2.1339044527715822,1.1313591018536437
Fkbpl,1.3779325045512385,1.8485380226975228
Ppt2,-1.3664893991080684,1.4056102167172182
Egfl8,-1.1970259749992336,1.963670550519115
Pfdn6,-1.9715361958026805,1.0486385600635921
Zbtb22,1.5684684053045896,1.2427743383480767
Zfp523,1.7435769407168813,1.0823013371240522
Fance,-1.6225337179124695,2.461259657609946
Tead3,-2.3130418172938607,1.1053666246868143
Slc26a8,1.9384329000961278,1.2010241813618092
Kctd20,1.544853749700496,1.7446041618185995
Pi16,2.3373201764740577,1.8617873401317302
Mtch1,-1.7189411505344432,1.5453640266001099
Mdga1,-1.7629832594952428,1.7305886501867322
Lrrc20,2.3259553710175376,1.2408172927447525
Gtf3c6,2.9395432979202814,3.0347402598585496
Cisd1,-3.373054836472782,1.1231656624786215
Arid5b,1.3655810705294174,1.1424947671173409
Sgsm1,1.8374207489059942,1.1745821028580008
Tmlhe,2.0690738574542706,1.401843240358046
RT1-M3-1,1.8241120742780408,1.2762401309999403
Ubd,-1.5735597426368277,3.673812627638278
Znrd1,1.4095620660854347,1.0162001773325082
Calhm5,1.6588351333308406,1.6935509402356814
Apom,1.2466850166281038,2.270873016828436
Slc9a6,-1.3208498890080997,1.0486121310792011
Caln1,1.5860434945876203,1.6666924216125854
Slc7a1,-1.380828950815597,1.133197864174879
Flt1,1.0074461506799037,2.115161595452031
Fcer2,1.8043957107387922,1.1006130792396993
Baiap2l1,-1.5383465809673185,1.0585117165690183
Ccz1b,-1.0846818062483685,1.6049662145878238
Nufip1,-1.0359791221781007,2.323219419525129
Ankrd61,1.0040406565096058,1.5444303512492856
Rilpl2,-1.6427488796135707,1.0974653633586402
Itih2,-2.889423336509451,1.085749867766305
Denr,1.4816530878720295,1.9811833882838896
Prkab1,1.830796552027046,1.0397503931361967
Rnf10,1.5498887639587926,1.523311475696577
Sppl3,-1.2734851234209512,4.152645657504418
Pknox1,1.71842130453291,1.3671691691296348
RGD1311899,-1.3906228593228733,1.394201708014997
Trpm2,1.3247095486715041,1.1463977365683409
Cabin1,-2.2374583357333035,1.1907139211607658
Pcbp3,1.7493482198920054,1.2949140467713827
Ftcd,2.5183775011540535,1.6982753826804102
Pcnt,1.5575901564688552,1.2681765733349317
Adora2a,4.475462158095891,1.6936794865591516
Camkk2,1.51444832015469,1.5372662721089378
Zfp68,-1.353186996927179,1.212071127424015
Hectd4,-1.9319293873201948,1.0650650718161532
Gpc2,-1.2853387609910225,1.1205262740526443
Cux1,1.2356354882753982,1.3558244394104209
Dlx2,1.661438248109022,3.0360372047214708
Brwd1,1.187092832088915,2.001681216369516
St3gal6,1.960710896275206,1.0028675096725301
Whrn,-1.6490602484553316,1.316375707416794
Ppp1r2,-1.7850139611874685,1.3272231448221186
Eif4g1,-1.7219279432115568,1.116027470324536
Wdr53,2.5255303185671463,1.5310869060689545
Lrch3,1.409142164561917,2.210447512406205
Osbpl11,-2.136339825501502,1.2142049222264806
Heg1,-1.4392170444458117,2.1420517775105643
Dnm1l,-2.0645154640260994,1.0135703255274675
