gene_name,log2_mod_coefs,log_fdr_adj_p
Steap1,2.8117933611990025,2.1562701912893174
Antxr2,4.644433184246869,1.1244414689040083
Gpr89b,1.4656484743980824,1.0200778738336322
Amz2,1.3506815922200681,1.3050728175096784
Smpd3,1.4020756677324913,1.2216048744655472
Phyhipl,-1.2712623710653181,2.3737883835129363
Rtraf,2.450265310065648,2.4264178273442014
Kifbp,1.0084954957401975,1.2909178654964786
Ddx50,-1.2077174610696555,1.928827893324519
Nelfe,1.4869937786696648,2.487865679259852
Ppt2,-1.4317028331125197,1.2947963052788984
Vps52,-1.4342865758044043,1.8042091312627944
Fance,-1.6191380984608859,2.9586377182656207
Slc26a8,1.7386955172547407,1.1040078782021885
Cdkn1a,-3.586412750535416,1.229915472182712
Cmtr1,-1.2975970663005427,1.8817295612795866
Mdga1,-1.3277469677937792,1.7203402494423443
Glo1,1.4202508762638233,1.1675738722829578
Lrrc20,2.582022068214272,1.2408172927447525
AC096404.1,-1.8061966034414316,1.1777648348596106
Zfp365,1.2383173131449108,1.5175752492901742
Tfip11,-1.3087525989839102,1.156200675568933
Ung,4.115535092059297,1.688721988842968
Ssh1,1.5462060124702768,1.0609963847333064
Cggbp1,2.0907021313013052,1.1064591832732038
Tmlhe,3.1397538645463077,1.3445691534552895
Gabbr1,1.7410911434188412,1.0242201792382226
Caln1,1.5794213195973392,1.3269928302166774
Ran,-2.0321509621445344,1.0203623708558769
Flt1,1.0980942082135048,1.5119266276683028
Ptcd1,-2.295014710450807,1.4668974340432135
Baiap2l1,-1.333613731537671,1.0585117165690183
Rilpl1,1.2021605258332526,1.5587183833601956
Rac1,-1.1054115553033903,1.4751160997899775
Cers4,-1.3769250328741223,1.103149882228112
Arl6ip4,1.4358010604713887,1.0896525683443241
Foxk1,-1.4142586204337293,1.2049220278574162
Abcg1,1.6086227475890376,1.7437684915908898
Cabp1,-1.2561381538529868,2.8283401627667923
Pde9a,-1.3450836412052656,2.0533038295712753
Acads,2.339170816231772,1.913481026442931
Sppl3,-1.894458383151093,1.5403960619792134
Pknox1,1.7950707996228623,1.3671691691296348
Agpat3,1.6112120675447075,1.009305662594314
Trpm2,1.7860507535448864,1.1463977365683409
Cabin1,-1.5597437456115657,1.4094416753268588
Col6a2,-1.1716399577395002,1.0240884897551426
Mad1l1,1.5367885490044773,1.224371431713485
Anapc7,-1.2698051004682267,1.4812336883511452
Asmt,1.1976985312374808,1.2680875927777897
Aldh2,-1.0568446938549527,3.1161099549294433
Ap4m1,1.2385872484372875,1.2937111478724768
Taf6,-2.052480986045318,1.241509032531476
Znhit1,-1.1830170592000584,2.464388765697392
Mdh2,1.1543061155804446,1.23240228371105
Pdcd2,-1.5837034856703889,1.2185530140904963
Pdk1,-2.0682270971050345,1.0890948993282552
Dlx2,2.423609508184406,1.4711925610704781
Mtx2,-2.1445219220506173,1.1056463318890997
Erg,-3.3314266006720943,1.109130955159027
Whrn,-1.5267830057998129,1.2349491849655079
Ppp1r2,-1.409034887910424,2.4910957548764787
LOC100910732,1.3627789566514366,1.8671826243872058
Osbpl11,-1.8799858710535882,1.1766456954189273
Itgb5,-1.2652238847946078,1.0798197767364819
Itpr2,-1.4194755758888153,2.4239260786436216
Eif4a2,1.182181498181273,1.1946198790575593
Stk38l,1.7894697502831303,1.2373337155985735
Ube2v2,3.433842153967873,1.6621333973464947
Ergic2,-2.112429958358303,1.01638843743222
Ypel1,-1.804893702534873,1.2884938642470676
Ube2l3,2.2746486152460412,1.0951056454113528
