gene_name,log2_mod_coefs,log_fdr_adj_p
Cbln1,-3.668626862546765,1.083002220690076
RGD1304622,-1.3327777137693986,2.0114080035908355
Tmem175,-1.1718361084277404,2.8227599086390054
Fcrl6,-3.697484583771053,1.2249593440251414
Fbxo28,1.4478351744210602,2.423153055254719
Mtf2,-2.4051202248056973,2.8844436317046838
Antxr2,3.9474840544682968,1.4322674153535497
Thoc3,-1.5678983437454297,1.480974314756996
Rnf19b,1.0061990563224172,1.0111732437979446
AABR07065970.1,-2.7700459767155823,1.0382004404973164
Abhd5,-1.1931456096004813,1.9547697983822185
Slc25a16,-1.0765777782962878,2.900564020435099
Supv3l1,2.1527079551385095,1.4752327802559118
Kifbp,1.1742422553066267,1.2909178654964786
Dxo,3.0500808169904716,1.0439763469411885
Egfl8,1.5777730116161797,1.1585907985114783
Agpat1,1.0668012061105632,3.0762674304791755
Zbtb22,1.1348908258473063,1.2427743383480767
Tspyl4,1.3247151369055117,1.0004250298951958
Tspyl1,1.1945278649293771,1.058973939874937
AC096404.1,-1.0703717983740737,2.019299448292768
Cdc40,1.1040827705608975,1.52384156538285
Traf3ip2,-1.095402161192662,1.249886104462966
Ube2d1,1.0328403327551947,1.0198302174301257
Arid5b,1.050846857299967,1.1424947671173409
Pitpnb,1.1764104508283582,2.0611868331008214
Ubd,-1.7406535457563848,3.105520875817599
Ranbp2,-1.1329364456442408,2.5968864414288397
Apom,-1.6285716070479999,1.5200234694348114
Slc9a6,1.1753578824274609,1.0486121310792011
Tpst1,-1.2527807790901493,1.1972536482091112
Uspl1,-1.1662583692850235,1.3419555039806124
Zbed5,-2.493720300203061,1.171900291293904
Slc7a1,-1.5222735661483418,1.133197864174879
Psph,-1.0522309798569183,2.340354986977783
Ran,-1.421865352015265,2.4470403757372923
Glt1d1,1.9757071770078918,1.2536450248423614
Arpc1b,-1.301908874129706,2.0374603923187506
Rilpl2,-2.082511829326586,1.0974653633586402
Cyth3,1.4841306248023185,2.126905392551079
Rac1,1.7958461040595781,1.005287390530033
Zfp316,-1.0713392188728188,2.3362370425467365
Sppl3,-1.471515515760568,2.7873251026641506
Git2,-1.2527510754960025,1.1233758520884727
Fam207a,-1.2987279905741536,1.1313729631739666
Slc19a1,1.5237402478217912,1.9485079567977033
Hvcn1,-1.13595914701849,1.3945462007504432
Mafk,-1.7458861866373292,1.6062374609072458
Gpr146,-1.2676515507487942,2.1379923803320993
Camkk2,1.1429163672769942,1.5372662721089378
Naa25,1.5543954779528943,1.2055310997454294
Trafd1,-1.2575755307475598,1.3628218657814004
Rph3a,1.1363072626738429,1.0877672617136267
Mospd3,2.158954698836955,1.130569223133177
Cux1,1.3560652337348995,1.4096592587390493
Prkrip1,-1.1879556226058843,1.8813051141648687
Rasa4,-3.482249985945767,1.6241858312363961
Dtx2,2.754264999749439,1.31400336949816
Ywhag,1.9758601833901288,1.207999531527201
Mdh2,1.0894898714235526,1.0347072238665809
Nsun5,1.3590366572869546,1.1845974449223782
Eln,-1.3922920454008925,1.2479306309498628
Pdcd2,-1.072920105580331,1.115450019863533
Napa,1.229376231071768,2.6391312919855645
Snrpa,1.3421488180988803,1.0826473382677344
Mtx2,-1.5127405538977954,2.600081119255174
Nrip1,-1.0077362413297348,1.750792899652086
Adamts1,-2.6434126647829705,1.6159051865372096
Ttc3,1.7131399964423546,1.1099998362626868
Atp13a4,2.193046614945297,2.123575609917173
Tmem44,1.7023292584212786,1.1574543590357511
Xxylt1,1.2950260333315875,1.4252806809515959
Lrch3,1.8661182988228133,1.594871269318065
Tra2b,2.5177098549521215,1.0815843969974681
Tm7sf3,1.668500922229587,1.0719090081714973
Stk38l,1.0001270052747906,1.7907338367798273
Ube2v2,2.175200502670793,1.3905275481027122
Mzt2b,-1.366241999654305,1.0456713229303356
Ergic2,-1.3765029319279376,1.01638843743222
Snap29,2.7642348417350595,1.0011945945609693
Smpd4,-1.2035658141756775,1.355184064925385
Arvcf,-1.0891211166856778,1.4635634018082069
Tbx1,1.1520210693725352,1.701904343536781
Ccdc50,-1.436458176720193,1.4928326549936983
Fgf12,1.8452643266055266,2.041408541708397
Cblb,-1.0613228274236781,1.6358542699996044
Stap1,-1.1197737600239857,1.9752307783494134
Dnajc28,-2.3355451334625577,1.262348786022869
Bmp2k,-1.7059622291190155,1.6620795938601016
Cdc7,-2.6950256428227943,1.1432530240573586
Cep135,-2.783925732759715,1.052735256474357
Gpat3,2.458840191070132,1.3162179444244255
Helq,-1.607334846226207,1.2565096345218476
Coq2,1.8821933886985047,1.5707941459936419
Ociad2,1.3850590695225418,4.578680277098871
Aff1,-1.1178721896275081,1.2116107459400765
Casr,1.389131405037116,4.270733500914602
Atp10d,1.9469105933766764,1.17070410385858
Limch1,-1.7508461102893667,1.3526722518961336
Aldh3a2,2.3776587448697564,1.092610140204213
Akap1,1.1781567267925395,2.566982383648826
