term_name,evc_p_value
positive regulation of biological process,2.6947124393668143e-14
developmental process,9.066672546654453e-14
positive regulation of cellular process,5.919472661380938e-13
anatomical structure development,2.2667667099871575e-12
regulation of primary metabolic process,1.2161889041963783e-10
regulation of cellular metabolic process,1.2161889041963783e-10
localization,2.2151283659328573e-10
organelle organization,2.5104724182865246e-10
multicellular organism development,4.3392700119782246e-10
regulation of nitrogen compound metabolic process,5.611309550653612e-10
positive regulation of metabolic process,1.2581117998974954e-9
establishment of localization,3.2835659042250434e-9
cell differentiation,4.886240705565305e-9
regulation of metabolic process,5.2796934490538e-9
cellular protein modification process,5.2796934490538e-9
protein modification process,5.2796934490538e-9
system development,5.8566943180519365e-9
macromolecule modification,6.3213987282136315e-9
cellular developmental process,8.224210574765086e-9
transport,1.2069087131306743e-8
intracellular signal transduction,1.5977410318449646e-8
cellular macromolecule metabolic process,1.8259084957003452e-8
regulation of macromolecule metabolic process,2.3079651194084183e-8
organonitrogen compound metabolic process,2.7583480801645044e-8
positive regulation of macromolecule metabolic process,2.8123417737690838e-8
regulation of protein metabolic process,2.8685434571188953e-8
negative regulation of cellular process,4.0506618758285637e-8
regulation of cell communication,4.0920620071224364e-8
regulation of signaling,5.6899945248158696e-8
regulation of synaptic plasticity,5.88096175178008e-8
positive regulation of cellular metabolic process,5.88096175178008e-8
cellular protein metabolic process,5.88096175178008e-8
biological regulation,8.363346343461608e-8
regulation of biological quality,9.464587051468585e-8
protein metabolic process,1.751321306421527e-7
cell development,2.0958045614199222e-7
regulation of cellular protein metabolic process,2.2459295818551195e-7
regulation of localization,2.2459295818551195e-7
cell-cell signaling,2.9115371376779776e-7
cellular response to chemical stimulus,3.1547836535583734e-7
negative regulation of biological process,4.834245752540321e-7
cellular localization,4.834245752540321e-7
positive regulation of nitrogen compound metabolic process,5.090300526900095e-7
nervous system development,8.143087005585883e-7
macromolecule localization,1.1080551446216245e-6
establishment of localization in cell,1.9606359257735144e-6
positive regulation of signaling,2.020140971703222e-6
positive regulation of cell communication,2.581908184131393e-6
regulation of transport,3.1953811852834517e-6
regulation of response to stimulus,3.532354250812357e-6
response to organic substance,4.376804809150566e-6
phosphate-containing compound metabolic process,4.777110642322039e-6
phosphorus metabolic process,4.899172831594223e-6
trans-synaptic signaling,5.832026944922455e-6
anterograde trans-synaptic signaling,8.533214106361603e-6
