TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0006259", "DNA metabolic process", 3.4378704601789, 6.77880207880155, -2.11283702820464, 2.8055008581584, -4.7594507517174, 0.923642764136533, 0, null, False
"GO:0070918", "production of small RNA involved in gene silencing by RNA", 0.161655350792111, null, null, 1.49136169383427, -1.46148989449294, 0.86131417746944, 0.42637523, 6259, True
"GO:0071897", "DNA biosynthetic process", 0.382584330207997, null, null, 1.85733249643127, -3.48945498979339, 0.929111428940992, 0.46747893, 6259, True
"GO:0031050", "dsRNA processing", 0.161655350792111, null, null, 1.49136169383427, -1.46148989449294, 0.947457007240101, 0.47107105, 6259, True
"GO:0006278", "RNA-dependent DNA biosynthetic process", 0.102381722168337, null, null, 1.30102999566398, -2.25465542039197, 0.932506942828389, 0.53058452, 6259, True
"GO:0007004", "telomere maintenance via telomerase", 0.0969932104752667, null, null, 1.27875360095283, -1.95595988717661, 0.88636161083804, 0.80226893, 6259, True
"GO:0000723", "telomere maintenance", 0.43108093544563, null, null, 1.90848501887865, -1.63648914165115, 0.876248861017211, 0.8619531, 6259, True
"GO:0010833", "telomere maintenance via telomere lengthening", 0.134712792326759, null, null, 1.41497334797082, -1.45036626654496, 0.887320930292694, 0.88543895, 6259, True
"GO:0032501", "multicellular organismal process", 41.2867765923052, -6.89111710919836, -3.6567341466103, 3.88439882555669, -1.3531295551439, 1, 0, null, False
"GO:0042327", "positive regulation of phosphorylation", 4.57484642741675, -1.71572574235916, 6.03455041655681, 2.92941892571429, -3.80966830182971, 0.808750749663876, 0, null, False
"GO:0032270", "positive regulation of cellular protein metabolic process", 7.61935553400151, null, null, 3.15075643986031, -3.80966830182971, 0.795064385161314, 0.50423482, 42327, True
"GO:0051247", "positive regulation of protein metabolic process", 8.06121349283328, null, null, 3.17522180034305, -3.70333480973847, 0.812089400394182, 0.66081863, 42327, True
"GO:0010562", "positive regulation of phosphorus metabolic process", 5.04364694471387, null, null, 2.97173959088778, -3.89619627904404, 0.81363851921746, 0.77772212, 42327, True
"GO:0033674", "positive regulation of kinase activity", 2.59726263605992, null, null, 2.68394713075151, -2.89861418663056, 0.771422343467521, 0.84224344, 42327, True
"GO:0031401", "positive regulation of protein modification process", 5.48011639185257, null, null, 3.00774777800074, -2.96910814833327, 0.798029892609834, 0.84516082, 42327, True
"GO:0045859", "regulation of protein kinase activity", 3.4378704601789, null, null, 2.8055008581584, -2.63615025727308, 0.790924093309317, 0.87417102, 42327, True
"GO:0045860", "positive regulation of protein kinase activity", 2.15540467722815, null, null, 2.60314437262018, -1.89081914787235, 0.762145739638192, 0.90477316, 42327, True
"GO:0001934", "positive regulation of protein phosphorylation", 4.13837698027805, null, null, 2.88592633980143, -3.17457388223218, 0.783400613081735, 0.90482541, 42327, True
"GO:0045937", "positive regulation of phosphate metabolic process", 5.04364694471387, null, null, 2.97173959088778, -3.89619627904404, 0.807311936189026, 0.93430638, 42327, True
"GO:0050890", "cognition", 2.00991486151525, 4.61706869611312, 5.14202085864994, 2.57287160220048, -2.13986654936909, 0.975131571317255, 0, null, False
